gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges,churn
female,0,no,1,no,no,dsl,month-to-month,29.85,no
male,0,no,34,yes,no,dsl,one_year,56.95,no
male,0,no,2,yes,no,dsl,month-to-month,53.85,yes
male,0,no,45,no,no,dsl,one_year,42.3,no
female,0,no,2,yes,no,fiber_optic,month-to-month,70.7,yes
female,0,no,8,yes,yes,fiber_optic,month-to-month,99.65,yes
male,0,yes,22,yes,yes,fiber_optic,month-to-month,89.1,no
female,0,no,10,no,no,dsl,month-to-month,29.75,no
female,0,no,28,yes,yes,fiber_optic,month-to-month,104.8,yes
male,0,yes,62,yes,no,dsl,one_year,56.15,no
male,0,yes,13,yes,no,dsl,month-to-month,49.95,no
male,0,no,16,yes,no,dsl,two_year,18.95,no
male,0,no,58,yes,yes,fiber_optic,one_year,100.35,no
male,0,no,49,yes,yes,fiber_optic,month-to-month,103.7,yes
male,0,no,25,yes,no,fiber_optic,month-to-month,105.5,no
female,0,yes,69,yes,yes,fiber_optic,two_year,113.25,no
female,0,no,52,yes,no,dsl,one_year,20.65,no
male,0,yes,71,yes,yes,fiber_optic,two_year,106.7,no
female,0,yes,10,yes,no,dsl,month-to-month,55.2,yes
female,0,no,21,yes,no,fiber_optic,month-to-month,90.05,no
male,1,no,1,no,no,dsl,month-to-month,39.65,yes
male,0,no,12,yes,no,dsl,one_year,19.8,no
male,0,no,1,yes,no,dsl,month-to-month,20.15,yes
female,0,no,58,yes,yes,dsl,two_year,59.9,no
male,0,yes,49,yes,no,dsl,month-to-month,59.6,no
female,0,no,30,yes,no,dsl,month-to-month,55.3,no
male,0,yes,47,yes,yes,fiber_optic,month-to-month,99.35,yes
male,0,yes,1,no,no,dsl,month-to-month,30.2,yes
male,0,no,72,yes,yes,dsl,two_year,90.25,no
female,0,yes,17,yes,no,dsl,month-to-month,64.7,yes
female,1,no,71,yes,yes,fiber_optic,two_year,96.35,no
male,1,no,2,yes,no,fiber_optic,month-to-month,95.5,no
female,0,yes,27,yes,no,dsl,one_year,66.15,no
male,0,no,1,yes,no,dsl,month-to-month,20.2,no
male,1,no,1,yes,no,dsl,month-to-month,45.25,no
female,0,yes,72,yes,yes,fiber_optic,two_year,99.9,no
male,0,no,5,yes,no,fiber_optic,month-to-month,69.7,yes
female,0,no,46,yes,no,fiber_optic,month-to-month,74.8,no
male,0,no,34,yes,yes,fiber_optic,month-to-month,106.35,yes
female,0,no,11,yes,yes,fiber_optic,month-to-month,97.85,yes
male,0,yes,10,yes,no,dsl,one_year,49.55,no
female,0,yes,70,yes,yes,dsl,two_year,69.2,no
female,0,yes,17,yes,no,dsl,one_year,20.75,no
female,0,no,63,yes,yes,dsl,two_year,79.85,no
female,0,no,13,yes,yes,dsl,month-to-month,76.2,no
female,0,no,49,yes,yes,fiber_optic,month-to-month,84.5,no
male,0,no,2,yes,no,dsl,month-to-month,49.25,no
female,0,no,2,yes,no,fiber_optic,month-to-month,80.65,yes
male,0,no,52,yes,yes,dsl,two_year,79.75,no
female,0,yes,69,yes,yes,dsl,two_year,64.15,no
female,1,no,43,yes,yes,fiber_optic,month-to-month,90.25,no
female,0,no,15,yes,no,fiber_optic,month-to-month,99.1,yes
female,1,no,25,yes,yes,dsl,month-to-month,69.5,no
female,1,no,8,yes,yes,fiber_optic,month-to-month,80.65,yes
female,1,yes,60,yes,no,dsl,one_year,74.85,no
male,1,no,18,yes,yes,fiber_optic,month-to-month,95.45,yes
female,0,yes,63,yes,yes,fiber_optic,one_year,99.65,no
male,1,yes,66,yes,yes,fiber_optic,one_year,108.45,no
female,0,yes,34,yes,yes,dsl,two_year,24.95,no
female,0,no,72,yes,yes,fiber_optic,two_year,107.5,no
female,0,no,47,yes,yes,fiber_optic,month-to-month,100.5,no
male,0,no,60,yes,yes,fiber_optic,month-to-month,89.9,no
male,0,no,72,no,no,dsl,two_year,42.1,no
