gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges
male,0,no,71,yes,no,dsl,two_year,86.1
female,1,no,60,yes,yes,fiber_optic,one_year,100.5
male,0,no,46,yes,no,dsl,month-to-month,45.2
male,0,no,1,yes,no,fiber_optic,month-to-month,69.15
male,1,no,20,yes,yes,fiber_optic,month-to-month,98.55
male,0,no,10,yes,no,dsl,one_year,19.6
female,0,no,51,yes,no,fiber_optic,month-to-month,69.15
female,0,no,14,yes,no,dsl,month-to-month,50.45
male,1,no,20,yes,no,dsl,one_year,54.0
male,0,no,28,yes,yes,fiber_optic,month-to-month,94.5
female,1,no,50,yes,yes,fiber_optic,one_year,100.65
female,0,no,13,yes,yes,fiber_optic,month-to-month,85.95
male,0,yes,14,yes,no,dsl,one_year,19.75
male,1,no,45,yes,yes,fiber_optic,one_year,98.7
female,1,no,40,yes,yes,fiber_optic,one_year,103.75
female,0,no,6,yes,no,dsl,month-to-month,49.15
male,0,no,66,yes,yes,fiber_optic,one_year,104.25
male,0,yes,56,yes,yes,fiber_optic,month-to-month,96.95
female,0,no,2,no,no,dsl,month-to-month,30.9
female,0,yes,70,yes,yes,fiber_optic,two_year,93.9
male,0,no,24,yes,no,dsl,month-to-month,49.7
male,0,yes,44,yes,yes,dsl,one_year,24.85
male,1,no,25,yes,yes,fiber_optic,month-to-month,88.95
male,0,yes,3,yes,yes,dsl,two_year,26.4
male,0,yes,1,no,no,dsl,month-to-month,24.75
male,0,no,48,yes,yes,fiber_optic,one_year,106.1
female,0,yes,27,yes,no,dsl,month-to-month,49.85
male,0,no,1,no,no,dsl,month-to-month,35.45
female,0,yes,64,yes,no,dsl,two_year,20.2
male,1,no,52,yes,yes,fiber_optic,one_year,105.1
male,0,yes,40,yes,yes,dsl,two_year,25.25
female,1,no,72,yes,yes,fiber_optic,two_year,110.1
male,0,yes,72,yes,yes,dsl,two_year,80.85
female,1,yes,3,yes,no,fiber_optic,month-to-month,88.3
male,0,no,3,yes,no,dsl,month-to-month,55.8
male,0,no,22,yes,yes,fiber_optic,month-to-month,101.35
female,1,no,3,yes,no,fiber_optic,month-to-month,73.85
male,0,yes,27,yes,no,dsl,month-to-month,54.75
female,0,no,43,no,no,dsl,month-to-month,49.05
male,0,yes,9,yes,no,fiber_optic,month-to-month,101.5
male,1,no,11,yes,yes,fiber_optic,month-to-month,111.4
male,1,no,2,yes,yes,fiber_optic,month-to-month,93.85
male,0,no,58,yes,yes,fiber_optic,one_year,100.35
male,0,yes,41,yes,yes,dsl,month-to-month,74.55
female,1,no,46,yes,yes,fiber_optic,one_year,100.25
female,0,no,65,yes,yes,fiber_optic,one_year,105.05
male,0,no,7,yes,yes,fiber_optic,month-to-month,99.8
female,0,yes,69,no,no,dsl,two_year,54.95
male,1,no,29,yes,yes,fiber_optic,month-to-month,98.5
male,0,yes,28,no,no,dsl,one_year,50.8
male,0,no,4,yes,no,fiber_optic,month-to-month,79.9
female,0,no,6,yes,yes,fiber_optic,month-to-month,93.55
female,0,no,1,yes,no,fiber_optic,month-to-month,75.3
female,1,no,11,yes,yes,fiber_optic,month-to-month,84.8
male,0,yes,45,yes,yes,fiber_optic,month-to-month,95.95
male,0,no,44,yes,yes,fiber_optic,month-to-month,111.5
male,0,yes,21,yes,yes,dsl,month-to-month,24.7
male,0,no,2,yes,no,fiber_optic,month-to-month,80.2
female,1,no,45,yes,yes,fiber_optic,one_year,102.15
male,0,no,63,yes,yes,fiber_optic,one_year,104.5
